iter	Passed	Remaining
0	651	324937
1	1061	264201
2	1425	236153
3	2918	361922
4	3638	360234
5	4760	391957
6	5435	382807
7	6109	375724
8	6981	380888
9	7248	355194
10	7964	354036
11	8333	338894
12	8935	334725
13	9409	326640
14	9741	314963
15	17438	527523
16	24723	702427
17	32216	862675
18	39298	994863
19	46740	1121778
20	54337	1239419
21	61549	1337308
22	69809	1447783
23	77214	1531414
24	84716	1609606
25	93183	1698809
26	100914	1767865
27	108601	1830714
28	116546	1892869
29	123956	1941982
30	131992	1996919
31	139376	2038387
32	146907	2078956
33	154524	2117895
34	161425	2144657
35	169221	2181076
36	176243	2205419
37	183670	2233044
38	190566	2252598
39	197736	2273971
40	205023	2295257
41	212660	2319014
42	220604	2344559
43	227730	2360120
44	228148	2306837
45	235903	2328267
46	243208	2344117
47	250271	2356726
48	257043	2365850
49	264208	2377872
50	271713	2392142
51	278970	2403438
52	286663	2417708
53	294680	2433842
54	303150	2452765
55	310389	2460945
56	320088	2487703
57	320373	2441464
58	320794	2397800
59	327868	2404366
60	333094	2397187
61	338026	2387994
62	338138	2345498
63	342569	2333757
64	347044	2322530
65	351590	2311972
66	355971	2300534
67	359883	2286321
68	364473	2276641
69	368278	2262279
70	371788	2246441
71	371988	2211263
72	372121	2176657
73	376075	2164972
74	382986	2170256
75	390967	2181184
76	399686	2195678
77	406997	2201963
78	413238	2202193
79	413397	2170337
80	419617	2170611
81	425827	2170682
82	431021	2165493
83	431078	2134866
84	437702	2137018
85	443753	2136209
86	450425	2138227
87	456211	2135897
88	462410	2135400
89	468443	2134020
90	468598	2106118
91	474992	2106487
92	483259	2114908
93	488870	2111506
94	495481	2112316
95	503667	2119601
96	504030	2094064
97	504274	2068554
98	511220	2070701
99	518813	2075253
100	519003	2050320
101	524030	2044748
102	529258	2039956
103	534751	2036169
104	539724	2030392
105	544531	2024012
106	549404	2017907
107	554304	2011921
108	560250	2009706
109	565244	2004049
110	570924	2000808
111	577514	2000674
112	583239	1997465
113	588749	1993485
114	593885	1988226
115	599468	1984448
116	605650	1982598
117	605895	1961458
118	612415	1960758
119	617916	1956736
120	618238	1936465
121	624989	1936442
122	631195	1934640
123	637613	1933407
124	644323	1932971
125	649845	1928906
126	655590	1925475
127	661202	1921619
128	666864	1917881
129	672916	1915223
130	678222	1910413
131	683967	1906817
132	690055	1904137
133	696333	1901926
134	702155	1898419
135	708186	1895439
136	713954	1891720
137	719720	1887961
138	725394	1883938
139	730748	1879068
140	736657	1875603
141	742126	1870994
142	748987	1869849
143	755716	1868298
144	761856	1865234
145	767337	1860530
146	772340	1854667
147	777961	1850287
148	785351	1850055
149	792383	1848895
150	797828	1843986
151	804914	1842830
152	812288	1842248
153	818203	1838301
154	824083	1834250
155	832750	1836322
156	840881	1837084
157	846333	1831937
158	853943	1831414
159	859913	1827315
160	865711	1822833
161	873130	1821716
162	879235	1817806
163	885844	1814901
164	891879	1810784
165	898063	1806947
166	904564	1803712
167	911921	1802129
168	919163	1800254
169	928531	1802443
170	935951	1800749
171	941865	1796114
172	947631	1791187
173	954697	1788686
174	960860	1784455
175	967286	1780686
176	974178	1777737
177	981203	1774986
178	987595	1771051
179	994250	1767556
180	1000871	1763966
181	1008195	1761573
182	1014785	1757852
183	1021954	1755095
184	1029401	1752764
185	1037165	1750913
186	1044381	1748081
187	1051156	1744472
188	1058109	1741122
189	1064399	1736651
190	1071049	1732744
191	1078904	1730742
192	1084994	1725872
193	1091218	1721200
194	1101529	1722905
195	1108246	1718912
196	1118185	1719848
197	1124997	1715905
198	1131595	1711609
199	1138564	1707847
200	1147310	1706695
201	1153386	1701530
202	1160289	1697566
203	1166920	1693178
204	1174405	1689998
205	1182306	1687369
206	1188717	1682580
207	1196029	1679042
208	1202924	1674885
209	1212552	1674477
210	1220255	1671345
211	1228293	1668624
212	1235577	1664838
213	1241667	1659424
214	1249184	1655895
215	1256596	1652191
216	1263811	1648196
217	1269682	1642432
218	1275143	1636142
219	1280106	1629226
220	1284558	1621682
221	1288929	1614065
222	1294310	1607730
223	1301313	1603404
224	1307418	1597956
225	1314180	1593298
226	1320563	1588166
227	1326795	1582844
228	1333716	1578328
229	1339474	1572426
230	1346357	1567836
231	1353532	1563563
232	1359274	1557624
233	1365489	1552223
234	1371490	1546574
235	1377984	1541474
236	1384512	1536400
237	1392353	1532758
238	1398008	1526695
239	1404762	1521826
240	1411353	1516766
241	1418887	1512697
242	1424734	1506818
243	1430832	1501201
244	1437526	1496201
245	1444159	1491124
246	1451360	1486616
247	1456924	1480423
248	1462792	1474541
249	1468521	1468521
250	1475541	1463783
251	1481433	1457918
252	1487709	1452427
253	1493606	1446564
254	1499666	1440856
255	1505593	1435018
256	1511264	1428939
257	1517984	1423846
258	1524681	1418718
259	1530198	1412490
260	1537492	1407895
261	1544530	1403046
262	1550514	1397231
263	1558258	1392988
264	1564410	1387307
265	1570672	1381719
266	1576812	1376020
267	1582267	1369724
268	1588153	1363804
269	1594153	1357982
270	1601555	1353344
271	1607403	1347382
272	1613173	1341356
273	1619693	1335951
274	1624930	1329488
275	1631408	1324041
